,success,length,band
0,1.0,1.0,16
1,200.0,1.19,1074
2,400.0,1.2,2377
3,600.0,1.2616666666666667,3426
4,787.0,1.3138500635324015,4460
5,957.0,1.3040752351097178,4796
6,1127.0,1.3504880212954746,5385
7,1263.0,1.3586698337292162,5845
8,1373.0,1.3685360524399126,6038
9,1509.0,1.3969516235917827,6460
10,1653.0,1.398064125831821,6459
11,1727.0,1.390851187029531,6595
12,1805.0,1.3977839335180056,6850
13,1958.0,1.383043922369765,6897
14,1981.0,1.4240282685512367,6923
15,2044.0,1.37573385518591,6972
16,2146.0,1.380708294501398,7183
17,2159.0,1.3705419175544233,7138
18,2081.0,1.3964440172993753,7014
19,2256.0,1.3772163120567376,7158
20,2250.0,1.3924444444444444,7211
21,2270.0,1.3691629955947135,7297
22,2303.0,1.3721233174120713,7274
23,2353.0,1.3620909477263068,7415
24,2252.0,1.38898756660746,7327
25,2255.0,1.3685144124168513,7310
