,success,length,band
0,1.0,1.0,16
1,200.0,1.185,1074
2,400.0,1.1675,2377
3,600.0,1.16,3426
4,800.0,1.19625,4668
5,980.0,1.189795918367347,5164
6,1157.0,1.222990492653414,5865
7,1286.0,1.2107309486780715,6213
8,1406.0,1.2183499288762447,6530
9,1553.0,1.2446877012234385,6912
10,1739.0,1.243818286371478,7259
11,1848.0,1.231060606060606,7415
12,1952.0,1.2556352459016393,7684
13,2106.0,1.244539411206078,7659
14,2170.0,1.243778801843318,7905
15,2268.0,1.2447089947089947,8008
16,2318.0,1.2389991371872304,8165
17,2402.0,1.238134887593672,8214
18,2370.0,1.2421940928270043,8255
19,2515.0,1.2330019880715706,8287
20,2559.0,1.2305588120359516,8374
21,2577.0,1.2242918121847108,8474
22,2610.0,1.2149425287356321,8320
23,2643.0,1.2145289443813847,8450
24,2620.0,1.2244274809160305,8383
25,2700.0,1.2096296296296296,8609
