,success,length,band
0,1.0,1.0,16
1,200.0,1.575,1074
2,400.0,1.5825,2377
3,600.0,1.5716666666666668,3426
4,800.0,1.54875,4668
5,1000.0,1.568,5484
6,1194.0,1.5284757118927974,6457
7,1282.0,1.5569422776911077,6874
8,1346.0,1.50074294205052,7188
9,1346.0,1.5378900445765231,7019
10,1393.0,1.5455850681981336,7060
11,1409.0,1.5124201561391057,7095
12,1295.0,1.5521235521235521,6803
13,1491.0,1.5264922870556674,7102
14,1370.0,1.5343065693430658,7006
15,1433.0,1.5478018143754362,6983
16,1397.0,1.5161059413027917,7179
17,1402.0,1.5477888730385163,6956
18,1361.0,1.5723732549595886,6874
19,1444.0,1.5574792243767313,6882
20,1383.0,1.5401301518438177,7077
21,1377.0,1.5562817719680464,7057
22,1455.0,1.48659793814433,7086
23,1439.0,1.516330785267547,6936
24,1425.0,1.5164912280701754,7083
25,1359.0,1.5136129506990434,6957
