,success,length,band
0,1.0,1.0,16
1,200.0,1.3,1074
2,400.0,1.3,2377
3,600.0,1.315,3426
4,800.0,1.32625,4668
5,1000.0,1.29,5484
6,1200.0,1.3116666666666668,6553
7,1390.0,1.2971223021582734,7877
8,1493.0,1.3000669792364368,8298
9,1543.0,1.322747893713545,8326
10,1740.0,1.2793103448275862,8668
11,1697.0,1.2846199175014732,8503
12,1632.0,1.2996323529411764,8419
13,1773.0,1.2707275803722504,8631
14,1696.0,1.3119103773584906,8392
15,1729.0,1.3001735106998265,8435
16,1718.0,1.30093131548312,8500
17,1769.0,1.276992651215376,8504
18,1642.0,1.2734470158343483,8426
19,1755.0,1.2911680911680912,8424
20,1682.0,1.2800237812128419,8606
21,1721.0,1.2882045322486926,8374
22,1741.0,1.2969557725445147,8409
23,1809.0,1.2642343836373686,8603
24,1668.0,1.2607913669064748,8479
25,1667.0,1.286742651469706,8403
