,success,length,band
0,397.0,1.3224181360201512,2189
1,443.0,1.3363431151241536,2504
2,475.0,1.3305263157894738,2528
3,508.0,1.3523622047244095,2679
4,539.0,1.398886827458256,2628
5,591.0,1.3756345177664975,2838
6,633.0,1.3886255924170616,2957
7,667.0,1.3928035982008995,2970
8,707.0,1.3903818953323903,3067
9,715.0,1.406993006993007,3088
10,767.0,1.42503259452412,3254
11,814.0,1.404176904176904,3252
12,820.0,1.446341463414634,3287
13,857.0,1.4632438739789966,3235
14,873.0,1.4467353951890034,3390
15,920.0,1.4108695652173913,3484
16,928.0,1.4051724137931034,3494
17,955.0,1.4513089005235602,3379
18,984.0,1.4705284552845528,3511
19,1004.0,1.4183266932270917,3470
20,993.0,1.4652567975830815,3554
21,1051.0,1.445290199809705,3488
22,982.0,1.4735234215885946,3624
23,1044.0,1.4291187739463602,3655
24,1054.0,1.4516129032258065,3642
25,1080.0,1.474074074074074,3551
26,1102.0,1.4192377495462796,3608
27,1102.0,1.4682395644283122,3671
28,1118.0,1.424865831842576,3681
29,1172.0,1.4436860068259385,3706
30,1082.0,1.4417744916820703,3696
31,1156.0,1.4515570934256055,3685
32,1120.0,1.4508928571428572,3610
33,1153.0,1.4440589765828273,3702
34,1187.0,1.4574557708508846,3701
35,1190.0,1.4369747899159664,3626
36,1107.0,1.4227642276422765,3733
37,1102.0,1.4310344827586208,3641
38,1140.0,1.449122807017544,3675
39,1154.0,1.464471403812825,3587
40,1146.0,1.462478184991274,3692
41,1217.0,1.4732949876746098,3759
42,1162.0,1.423407917383821,3695
