,success,length,band
0,400.0,1.1925,2237
1,448.0,1.1986607142857142,2584
2,481.0,1.2182952182952183,2624
3,529.0,1.1984877126654063,3015
4,560.0,1.2339285714285715,2964
5,599.0,1.2387312186978297,2966
6,645.0,1.2217054263565892,3149
7,680.0,1.2264705882352942,3178
8,719.0,1.250347705146036,3247
9,738.0,1.2533875338753389,3432
10,794.0,1.2594458438287153,3566
11,837.0,1.2281959378733571,3560
12,859.0,1.2724097788125728,3587
13,900.0,1.3066666666666666,3587
14,926.0,1.2613390928725703,3704
15,983.0,1.2848423194303153,3848
16,988.0,1.2732793522267207,3870
17,1020.0,1.280392156862745,3881
18,1052.0,1.2756653992395437,3991
19,1071.0,1.2866479925303456,3792
20,1086.0,1.2826887661141806,4016
21,1152.0,1.2508680555555556,4060
22,1096.0,1.2992700729927007,4193
23,1160.0,1.2741379310344827,4133
24,1156.0,1.2629757785467128,4156
25,1208.0,1.2996688741721854,4121
26,1232.0,1.2613636363636365,4128
27,1211.0,1.259289843104872,4229
28,1240.0,1.2524193548387097,4177
29,1347.0,1.2561247216035634,4327
30,1238.0,1.295638126009693,4242
31,1266.0,1.2867298578199051,4254
32,1282.0,1.3088923556942278,4212
33,1350.0,1.26,4321
34,1350.0,1.2807407407407407,4282
35,1391.0,1.2818116462976277,4246
36,1290.0,1.2682170542635658,4394
37,1300.0,1.28,4284
38,1362.0,1.276064610866373,4358
39,1359.0,1.2656364974245768,4343
40,1363.0,1.2531181217901688,4491
41,1430.0,1.2727272727272727,4434
42,1382.0,1.276410998552822,4410
