,success,length,band
0,400.0,1.2675,2237
1,448.0,1.3080357142857142,2584
2,484.0,1.3243801652892562,2672
3,525.0,1.3276190476190477,2951
4,552.0,1.4003623188405796,2836
5,606.0,1.381188118811881,3078
6,641.0,1.4149765990639624,3085
7,683.0,1.4216691068814056,3274
8,718.0,1.435933147632312,3279
9,731.0,1.4103967168262654,3368
10,779.0,1.4454428754813864,3494
11,820.0,1.4378048780487804,3468
12,823.0,1.4580801944106927,3495
13,852.0,1.471830985915493,3447
14,890.0,1.4258426966292135,3614
15,894.0,1.4105145413870246,3650
16,909.0,1.438943894389439,3690
17,968.0,1.4318181818181819,3633
18,974.0,1.4404517453798769,3707
19,988.0,1.444331983805668,3642
20,966.0,1.4420289855072463,3728
21,1044.0,1.4272030651340997,3767
22,955.0,1.4670157068062828,3758
23,1019.0,1.4484789008832188,3745
24,1027.0,1.4469328140214217,3824
25,1050.0,1.4714285714285715,3690
26,1052.0,1.4192015209125475,3784
27,1061.0,1.4344957587181904,3842
28,1090.0,1.3963302752293578,3822
29,1132.0,1.4257950530035335,3861
30,1023.0,1.444770283479961,3790
31,1065.0,1.4253521126760564,3804
32,1065.0,1.43943661971831,3771
33,1062.0,1.4171374764595104,3846
34,1097.0,1.4339106654512306,3856
35,1142.0,1.4063047285464099,3766
36,1047.0,1.4278892072588347,3839
37,1000.0,1.427,3741
38,1112.0,1.4055755395683454,3847
39,1069.0,1.4359214218896164,3771
40,1033.0,1.435624394966118,3818
41,1077.0,1.4122562674094707,3904
42,1056.0,1.3825757575757576,3850
