,success,length,band
0,1.0,2.0,4
1,200.0,1.235,1046
2,400.0,1.3725,2264
3,540.0,1.4481481481481482,2761
4,711.0,1.450070323488045,3228
5,825.0,1.4654545454545456,3329
6,868.0,1.48963133640553,3420
7,955.0,1.4827225130890052,3481
8,976.0,1.4897540983606556,3615
9,1050.0,1.4761904761904763,3634
10,1030.0,1.4601941747572815,3712
11,1063.0,1.4496707431796803,3667
12,1114.0,1.4192100538599641,3787
13,1142.0,1.4492119089316988,3651
14,1105.0,1.4289592760180996,3785
15,1111.0,1.4590459045904591,3662
16,1186.0,1.4561551433389546,3644
17,1109.0,1.442741208295762,3599
18,1177.0,1.4613423959218352,3813
19,1175.0,1.4306382978723404,3739
20,1045.0,1.448803827751196,3693
21,1109.0,1.4571686203787195,3681
22,1119.0,1.4584450402144773,3730
23,1024.0,1.5166015625,3555
24,1140.0,1.4482456140350877,3709
25,1104.0,1.486413043478261,3670
