,success,length,band
0,1.0,1.0,16
1,200.0,1.185,1074
2,400.0,1.185,2377
3,600.0,1.2183333333333333,3426
4,798.0,1.300751879699248,4636
5,980.0,1.3265306122448979,5164
6,1144.0,1.3461538461538463,5657
7,1285.0,1.3875486381322957,6197
8,1390.0,1.3884892086330936,6466
9,1527.0,1.389652914210871,6952
10,1662.0,1.4115523465703972,6799
11,1730.0,1.3815028901734103,7021
12,1756.0,1.3838268792710706,7148
13,1954.0,1.3971340839303992,7153
14,1969.0,1.3809040121889284,7260
15,2022.0,1.3857566765578635,7357
16,2058.0,1.3999028182701652,7451
17,2069.0,1.361527307878202,7380
18,2029.0,1.3987185805815672,7353
19,2089.0,1.376256582096697,7353
20,2176.0,1.3754595588235294,7488
21,2109.0,1.370791844476055,7479
22,2112.0,1.3887310606060606,7348
23,2112.0,1.353219696969697,7398
24,2091.0,1.3658536585365855,7451
25,2066.0,1.4027105517909002,7389
