,success,length,band
0,1.0,1.0,16
1,200.0,1.185,1074
2,400.0,1.1525,2377
3,600.0,1.1516666666666666,3426
4,800.0,1.16625,4668
5,1000.0,1.187,5484
6,1187.0,1.2207245155855098,6345
7,1337.0,1.2101720269259537,7029
8,1463.0,1.2235133287764868,7454
9,1585.0,1.2435331230283913,7628
10,1758.0,1.2315130830489192,7897
11,1834.0,1.2333696837513632,8029
12,1910.0,1.2261780104712041,8258
13,2079.0,1.2222222222222223,8269
14,2132.0,1.2303001876172608,8413
15,2225.0,1.2040449438202248,8602
16,2215.0,1.2094808126410834,8500
17,2317.0,1.1950798446266724,8722
18,2166.0,1.208679593721145,8600
19,2345.0,1.196588486140725,8679
20,2372.0,1.1968802698145025,8834
21,2403.0,1.1839367457344985,8796
22,2446.0,1.197465249386754,8602
23,2507.0,1.1858795372955724,8793
24,2451.0,1.1876784985720115,8836
25,2482.0,1.1941982272361,8843
